Product Id,Product Name,Product Varies? Yes/No,Parent Product,Variant Name,Variant ID,SKU,Inventory ID,Barcode,Taxonomy,On Hand Quantity,Sales Channels
1998478,Single Serve 10-Pack Vanilla Bean 10.00% Off Auto renew,No,,,,single-serve-10-pack-vanilla-bean-10-00-off-auto-r-5049f20de6669d2,13238766,,,0,Shopify
1998477,Single Serve Sachet (1 ct) Vanilla Bean 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-vanilla-bean-10-00-off-au-afaeb8df13f8940,13238767,,,0,Shopify
1998476,Large bag Vanilla Bean 10.00% Off Auto renew,No,,,,large-bag-vanilla-bean-10-00-off-auto-renew-1-2-3-4,13238768,,,0,Shopify
1998475,Sachet 10-Pack Salted Caramel 10.00% Off Auto renew,No,,,,sachet-10-pack-salted-caramel-10-00-off-auto-renew,13238769,,,0,Shopify
1998474,Single Serve Sachet (1 ct) Salted Caramel 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-salted-caramel-10-00-off--e490207a4ac321b,13238770,,,0,Shopify
1998473,Large bag Salted Caramel 10.00% Off Auto renew,No,,,,large-bag-salted-caramel-10-00-off-auto-renew-1-2--3e83e0f3de0ebe9-4,13238771,,,0,Shopify
1998471,Large Bag Carrot Cake,No,,,,118,13889101,812064030769,,0,Shopify
1998469,Large Bag Nutella Latte,No,,,,119,14423625,812064030806,,0,Shopify
1998467,3-Pack Whole (36oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-whole-36oz-cinnamon-pecan-coffee-beans-10-0-9f76b64dd8dd80e-1,14423627,,,0,Shopify
1998466,3-Pack Ground (36oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,3-pack-ground-36oz-cinnamon-pecan-coffee-beans-10--5dbf12612be69f1-1,14423628,,,0,Shopify
1998465,K-cup (20 pods) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,k-cup-20-pods-cinnamon-pecan-coffee-beans-10-00-of-d145ec813d59a69-2,14423629,,,0,Shopify
1998463,Ground (12oz) Cinnamon Pecan Coffee Beans 10.00% Off Auto renew,No,,,,ground-12oz-cinnamon-pecan-coffee-beans-10-00-off--3e15257b2abca40-2,14423631,,,0,Shopify
1998461,Large Bag S'mores,No,,,,120,14914917,812064030790,,0,Shopify
1998460,1-Pack Apple Pie Less-Carb Oatmeal,No,,,,48,15002425,812064030455,,0,Shopify
1998459,Single Serve Sachet (1 ct) Original 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-original-10-00-off-auto-r-d463d6d7457a792-1,15424405,,,0,Shopify
1998458,Large bag Original 10.00% Off Auto renew,No,,,,large-bag-original-10-00-off-auto-renew-1-2-3-4-5--bd8618afcd66165-8,15424406,,,0,Shopify
1998453,XL / Mystery Mystery Shirt,No,,,,xl-mystery-mystery-shirt,16018840,,,0,Shopify
1998449,XL / Mystery Mystery Sweater,No,,,,xl-mystery-mystery-sweater,16018844,,,0,Shopify
1998446,S / Mystery Mystery Sweater,No,,,,s-mystery-mystery-sweater,16018847,,,0,Shopify
1998444,Bulk 2.5lb Bag Butter Pecan 10.00% Off Auto renew,No,,,,bulk-2-5lb-bag-butter-pecan-10-00-off-auto-renew,16018849,,,0,Shopify
1998443,Single Serve 10-Pack Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-10-pack-butter-pecan-10-00-off-auto-r-3a7323be4319cf9-1,16018850,,,0,Shopify
1998442,Single Serve Sachet (1 ct) Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-butter-pecan-10-00-off-au-80a47508034a06f-1,16018851,,,0,Shopify
1998441,Large bag Butter Pecan 10.00% Off Auto renew,No,,,,large-bag-butter-pecan-10-00-off-auto-renew-1-2-3-4,16018852,,,0,Shopify
1998440,Bulk 2.5lb Bag Butter Pecan 10.00% Off Auto renew,No,,,,bulk-2-5lb-bag-butter-pecan-10-00-off-auto-renew-1,16018853,,,0,Shopify
1998439,Single Serve 10-Pack Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-10-pack-butter-pecan-10-00-off-auto-r-ffe246cdb5b6fd9-2,16018854,,,0,Shopify
1998438,Single Serve Sachet (1 ct) Butter Pecan 10.00% Off Auto renew,No,,,,single-serve-sachet-1-ct-butter-pecan-10-00-off-au-8032e5cb47c4e4e-2,16018855,,,0,Shopify
1998437,Large bag Butter Pecan 10.00% Off Auto renew,No,,,,large-bag-butter-pecan-10-00-off-auto-renew-1-2-3--2e1b24b5ed21426-5,16018856,,,0,Shopify
